City,Color,Count
Marseille,Bleu,23
Avignon,Jaune,80
Avignon,Orange,92
Avignon,Vert,84
Marseille,Orange,52
Lille,Marron,27
Bordeaux,Rouge,83
Montpellier,Rouge,20
Paris,Marron,56
Montpellier,Orange,17
Nice,Jaune,29
Lille,Rouge,24
Montpellier,Vert,30
Lille,Jaune,24
Marseille,Marron,18
Lille,Bleu,98
Bordeaux,Jaune,61
Nice,Orange,12
Paris,Rouge,71
Toulouse,Marron,36
Toulouse,Jaune,26
Marseille,Vert,91
Avignon,Orange,51
Paris,Orange,92
Strasbourg,Orange,100
Nice,Bleu,79
Paris,Vert,98
Paris,Marron,79
Nice,Jaune,23
Marseille,Vert,98
Bordeaux,Orange,33
Lyon,Vert,100
Montpellier,Rouge,27
Nice,Marron,85
Toulouse,Vert,52
Strasbourg,Rouge,20
Lille,Rouge,15
Strasbourg,Marron,21
Avignon,Vert,19
Toulouse,Vert,100
Avignon,Bleu,53
Paris,Rouge,71
Lyon,Bleu,61
Lille,Marron,42
Toulouse,Jaune,41
Lille,Marron,55
Toulouse,Marron,43
Montpellier,Vert,41
Paris,Jaune,94
Montpellier,Rouge,26
Lyon,Orange,11
Bordeaux,Jaune,57
Lille,Vert,74
Avignon,Rouge,29
Toulouse,Orange,40
Toulouse,Vert,88
Paris,Vert,55
Nice,Rouge,19
Strasbourg,Marron,53
Strasbourg,Vert,78
Nice,Bleu,64
Lille,Orange,18
Montpellier,Jaune,64
Strasbourg,Jaune,31
Bordeaux,Bleu,62
Marseille,Bleu,22
Marseille,Jaune,98
Lille,Bleu,46
Paris,Marron,60
Lille,Rouge,25
Lille,Rouge,93
Montpellier,Marron,88
Toulouse,Bleu,78
Toulouse,Rouge,63
Marseille,Jaune,52
Bordeaux,Rouge,86
Bordeaux,Orange,27
Avignon,Vert,84
Nice,Bleu,69
Paris,Rouge,49
Lyon,Jaune,77
Lyon,Jaune,86
Bordeaux,Marron,88
Bordeaux,Jaune,86
Strasbourg,Rouge,11
Lyon,Bleu,29
Strasbourg,Marron,44
